Group,First,Second,Odd
A,Netherlands,Qatar,17.633
B,England,IR Iran,23.819
C,Argentina,Mexico,30.05
D,Denmark,France,20.817
E,Germany,Spain,22.932
F,Belgium,Croatia,21.902
G,Brazil,Switzerland,21.86
H,Portugal,Uruguay,20.955
