date,world_champion,Argentina,Brazil,England,France,Germany,Italy,Spain,Uruguay
1990-07-08,Germany,2,3,1,0,3,3,0,2
1994-07-17,Brazil,2,4,1,0,3,3,0,2
1998-07-12,France,2,4,1,1,3,3,0,2
2002-06-30,Brazil,2,5,1,1,3,3,0,2
2006-07-09,Italy,2,5,1,1,3,4,0,2
2010-07-11,Spain,2,5,1,1,3,4,1,2
2014-07-13,Germany,2,5,1,1,4,4,1,2
2018-07-15,France,2,5,1,2,4,4,1,2
2022-12-18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN

