group,team,team_fifa_code
C,Argentina,ARG
D,Australia,AUS
F,Belgium,BEL
G,Brazil,BRA
G,Cameroon,CMR
F,Canada,CAN
E,Costa Rica,CRC
F,Croatia,CRO
D,Denmark,DEN
A,Ecuador,ECU
B,England,ENG
D,France,FRA
E,Germany,GER
H,Ghana,GHA
B,IR Iran,IRN
E,Japan,JPN
C,Mexico,MEX
F,Morocco,MAR
A,Netherlands,NED
C,Poland,POL
H,Portugal,POR
A,Qatar,QAT
C,Saudi Arabia,KSA
A,Senegal,SEN
G,Serbia,SRB
H,Korea Republic,KOR
E,Spain,ESP
G,Switzerland,SUI
D,Tunisia,TUN
B,USA,USA
H,Uruguay,URU
B,Wales,WAL
