"","Argentina","Australia","Belgium","Brazil","Cameroon","Canada","Costa Rica","Croatia","Denmark","Ecuador","England","France","Germany","Ghana","IR Iran","Japan","Korea Republic","Mexico","Morocco","Netherlands","Poland","Portugal","Qatar","Saudi Arabia","Senegal","Serbia","Spain","Switzerland","Tunisia","Uruguay","USA","Wales"
"IR Iran",0.904320371058987,1.11684225582681,1.00403535962155,0.827459862094074,1.0984057191735,1.13054514947802,1.20174050650574,1.05135414348803,0.959313403234129,1.14184067486358,0.887465419633729,1.01697911275546,1.04052037849381,1.16219933488019,1.20033148600692,1.02867931171263,1.01231836970738,1.02479637274355,0.991452502692751,1.03373818617304,1.14049616076703,0.932227729433458,1.05147795372618,1.11804279563553,0.990351246926018,1.07926472744987,0.922860441348633,1.03899100760905,1.14737709107218,0.908231987879475,1.08017574421129,1.06760502245551
"Japan",0.919498094786555,1.32360623081516,1.04037043412527,0.804611002951229,1.2451632399855,1.32878850192247,1.35198133755378,1.09604182939217,0.974606549879139,1.32804739452151,0.887554088334634,1.04073024942652,1.06237545023677,1.44313344206744,1.46808628694525,1.28405529085507,1.27157595752384,1.12872476694121,1.05654041195009,1.08625998724829,1.21668918472763,0.938852985331798,1.16813714657732,1.24897897734341,1.07411060409835,1.17807670359548,0.949571145947113,1.07940898203205,1.34665299678002,0.994762865807285,1.21585057818929,1.23254992299103
"Korea Republic",0.947951526375453,1.37474327517776,1.07858862227284,0.86202416104318,1.33160683748045,1.36541940968766,1.44767044034596,1.15422416439398,1.04307660345796,1.38435413592967,0.929947302114244,1.07898464472279,1.12480063304977,1.38124607590125,1.47537241360383,1.29896209076456,1.307486284282,1.25948092616487,1.13376691320581,1.12090024675488,1.28589416781109,1.00074540596552,1.24817134675546,1.37642719517952,1.10626308603898,1.22989061673576,0.99144121695142,1.16289802758673,1.37587290759027,1.00810120774951,1.23746169905032,1.26119852354644
"Mexico",0.852324833921119,1.34397097488447,1.09740443820655,0.845906991732459,1.39147413903412,1.38762593629568,1.23627008244851,1.13039591998037,1.03579132091323,1.30629612468964,0.891346291998636,1.04519123503651,1.10762870192363,1.43366839052913,1.43760930149192,1.4429131097888,1.46216272512544,1.28910208013575,1.24493988555817,1.06918267210841,1.29771363630166,0.957181751226443,1.30461129348455,1.39205488621914,1.20334742780319,1.26072990185018,0.95058205363026,1.20726559286871,1.41411438428895,0.911233561934473,1.24157871804466,1.31381972128448
"Morocco",0.90670895629961,1.25743267789941,1.04908260893606,0.873395490654561,1.27435146130072,1.29577786189892,1.33063801912961,1.11106510407425,1.00614742562957,1.24323556369395,0.924063909171835,1.03355379539661,1.07851119559992,1.26061231005648,1.39744108412198,1.23325354896131,1.3270901304358,1.24634398113168,1.15221139750218,1.10382182754875,1.27670434397705,0.996250309221211,1.19884110958127,1.26736918321762,1.16175911824329,1.20374293508585,0.997395972424241,1.1269090067535,1.30069685540417,0.974512903786169,1.14059374362806,1.22511574401964
"Netherlands",1.27849904691879,1.75007153315117,1.59362268884103,1.2136001369631,1.74143237781901,1.61925650449527,1.72679883589915,1.57060764792319,1.55438716443963,1.69468558030392,1.26490476832633,1.26698242396009,1.495414677488,1.6824649741258,1.66668394703778,1.6951879440438,1.8402433133584,1.5819207310421,1.51965527754305,1.38434005182796,1.60950626157609,1.31349279248295,1.56929860817359,1.79356776483259,1.49436438952098,1.61082100881657,1.31831072636462,1.53580657279681,1.7290856249787,1.43253796597713,1.6063049974939,1.7565984750922
"Poland",0.962225573824081,1.41178915537386,0.992986729123841,0.875571003583992,1.38423605400873,1.37030217392072,1.51551668083572,1.19341583321009,1.0602316803659,1.37518257377542,0.936000729233124,1.00583689194547,1.07466112130205,1.39521396624052,1.51734218221192,1.36621734839833,1.44432635870161,1.31967673309203,1.20429969153023,1.16219650801929,1.36260176684955,1.0076973726534,1.28675344897483,1.48068772558895,1.19664345159253,1.30184180915973,0.96170198457916,1.21549856668852,1.435209877103,1.05017472328094,1.30627475719844,1.36973261029532
"Portugal",1.11967802909159,1.74651762899451,1.30273884967044,1.08395227282561,1.69045174454158,1.5999498533483,1.74466956493686,1.53516758138512,1.34309668592409,1.69561363435089,1.09095556300065,1.11893140275557,1.42187720257337,1.65210130531139,1.64429338599009,1.67197227342819,1.84560856605592,1.61482075217064,1.44223769084685,1.28167783005103,1.59915719822365,1.19690688715418,1.55541886895298,1.7884477811083,1.41636075780535,1.57686115797567,1.17341189077422,1.50077833951034,1.75521954845794,1.40629946804345,1.61810716523311,1.67938564784646
"Qatar",0.984670710455043,1.44771510682285,1.11228810953728,0.920415819643364,1.29948288808978,1.33994948388567,1.46276716489473,1.16475856794477,1.11967754482401,1.40893514515032,0.964206666365242,1.03719063620234,1.11401899136353,1.35322265944194,1.44506904758531,1.24826144505139,1.33066583458325,1.2703991915186,1.18702079932864,1.16558141429619,1.27974443557887,1.01204369710773,1.24862080175569,1.46724083341612,1.20069546633149,1.22477636041046,1.0175801354213,1.19480936586147,1.37789237570073,1.08622486521357,1.30400526783777,1.23511422022308
"Saudi Arabia",0.721621603999357,1.04995416808159,0.84578270457544,0.663390020668665,0.985155074273883,1.0054859895293,1.14126533014234,0.914272283111885,0.824518502535148,1.0865306390768,0.712209708676901,0.842951623824971,0.837361233136495,1.04192867398005,1.10961334935059,0.865684162981669,0.905922524491576,0.878498725032013,0.739977776945912,0.885117763943481,0.981585556174402,0.750568247220651,0.94744261189913,1.04633032870742,0.820152061477175,0.932228031037918,0.741872903920064,0.923526071147745,1.04307550124822,0.710225171345865,0.942163750053636,0.922490969830298
"Senegal",0.903542452504543,1.27398542207304,1.05170056022938,0.854925095097998,1.26123833282386,1.34820718233681,1.38338478193786,1.10983935923829,1.03177969725159,1.26450068963804,0.93216640867373,1.05856676494392,1.10641040783405,1.28360540463424,1.40270695425281,1.32620052441438,1.35937370912594,1.31540525441053,1.15606275512613,1.12631935598767,1.30708132058661,1.01174769240439,1.25014482186313,1.35205902031639,1.1347143122847,1.24267423717942,1.00515671119746,1.17232129493423,1.31799319927738,0.96499728572334,1.22987320414082,1.26932051551084
"Serbia",0.906130454878011,1.29453155511322,1.05598960885541,0.846063022339813,1.34057943171742,1.34506905437583,1.40913170762158,1.13579566949433,0.960823874817957,1.28061526310686,0.912966116749473,1.05184936041178,1.08976584829497,1.32601252444434,1.44452824091471,1.28858006100677,1.34317581659392,1.29260346007306,1.16914290793895,1.13842943234357,1.28629754744295,1.05233017632845,1.23522426562151,1.3602871499175,1.14610058878536,1.22459562604378,1.02697223386266,1.13361607147752,1.36993386170615,0.972864028023268,1.23322928590863,1.2605735376455
"Spain",1.46869404998661,1.93820032152798,1.53035922102777,1.33353456693557,1.78843430495159,1.71487192793244,1.97954922392475,1.70438280658715,1.45156575998663,1.83566181751408,1.32013136754371,1.23407566138616,1.58513685460354,1.7536902321908,1.82097224397752,1.79803027229729,2.09131218818719,1.68110871061496,1.54546959040572,1.39280132204276,1.70981312900362,1.3304056897038,1.69085001283899,2.03402937742413,1.49692266037988,1.71044314173345,1.31638082496834,1.49238707517942,1.89263293389614,1.58618652429786,1.70975104940257,1.76040537806268
"Switzerland",0.952038944933756,1.46179030037754,1.05121495183759,0.855808576931501,1.43689212155221,1.46483528544139,1.57664912397323,1.20705370237743,1.05538240398646,1.43260404789632,0.901565300214483,1.18290401086236,1.14967321457765,1.41016359380389,1.48947873627205,1.44910716875742,1.47207437534901,1.34818667976565,1.22910558227286,1.1415141973572,1.3900715798427,0.922319403246924,1.30339403387357,1.5041890322721,1.21493929260209,1.41555944787945,0.919474175019707,1.25232246972923,1.48293904315766,1.04697126547086,1.35146551468214,1.42356219323426
"Tunisia",0.85638281298945,1.0985507363499,0.98796877788218,0.774640970614215,1.05757234316886,1.07778397875256,1.16049568683894,1.01509617312996,0.918297044025218,1.07691780079226,0.846287551631908,0.962140434103381,0.984050819695782,1.04855081977801,1.19075606509287,0.983494417135733,1.05909559341708,1.01227653839495,0.887406013574242,1.01377572157989,1.09993685372901,0.900076819272932,1.04144352526183,1.03572069770082,0.914219970098492,1.04668968008218,0.855405515985891,1.02537802629617,1.08289758525478,0.822190779981444,1.03108897990636,0.997198640458332
"Uruguay",0.801601116705743,1.35818986313959,1.0688304749418,0.83862790275756,1.36939370488036,1.41225726130729,1.47908457657795,1.2198382174475,1.09098738760034,1.35130313519298,0.909489059434187,0.986756013396264,1.15241161790268,1.37199268419882,1.41832295078478,1.43863366891593,1.45792158895444,1.60292576356051,1.22949055794445,1.13356050523202,1.3788379711007,1.02975019784437,1.33574319818036,1.39696573936209,1.20639456130544,1.36901016866489,1.0179559253432,1.26005029730429,1.38661475045759,1.02674656188004,1.2998635885577,1.36716439506583
"USA",0.822703680495048,1.26336488249308,0.998278229404002,0.753377502132566,1.27273123575181,1.24147563244621,1.2876103919866,1.08591715370113,0.954735768601652,1.24560971443272,0.81138392859607,0.995470761657761,1.03561531892516,1.28046628338288,1.33373020646714,1.26767768550616,1.27433535022999,1.2078993633033,1.27744762374136,1.0555968993642,1.25642012300514,0.89405847344781,1.13851167840696,1.2691760644992,1.1502537730468,1.18340501835161,0.887319012143817,1.11948360224087,1.29799679298855,0.860137272666396,1.1680909357912,1.19916914161666
"Wales",0.81052067967642,1.15474667091809,0.956658771957761,0.744350311010828,1.18027155589066,1.20702500706488,1.2509368656849,1.05832419547973,0.890789915846473,1.18948729433148,0.767223849539299,0.890988711303982,0.985722855477159,1.20229317201886,1.2877664273803,1.2206704342513,1.19099481162806,1.1198030700166,1.04822329195242,1.08174655217959,1.16956319049096,0.857156442984916,1.12299468039052,1.19147939539477,1.02822659745777,1.16054026575745,0.844512656824893,1.04767251711256,1.21414993486805,0.86458249796113,1.11757874114657,1.13628928279397
